generation,individual_id,fitness,p_human,p_ai,p_mimicry,log_p_human,semantic_similarity,perplexity,semantic_penalty,perplexity_penalty,predicted_class,is_best
3,2,-10.29037762,0.00003396,0.99995530,0.00001069,-10.29037762,0.8650,1.0000,0.00000000,0.00000000,2,0
3,3,-5.82442236,0.00335406,0.99659532,0.00005061,-5.69758415,0.7866,1.0034,0.12683821,0.00000000,2,0
3,4,-10.37861729,0.00003109,0.99995780,0.00001111,-10.37861729,0.8656,1.0000,0.00000000,0.00000000,2,0
3,5,-9.59289360,0.00007364,0.99991381,0.00001254,-9.51633263,0.8117,1.0001,0.07656097,0.00000000,2,0
3,6,-9.45889091,0.00007818,0.99989951,0.00002228,-9.45654488,0.8488,1.0001,0.00234652,0.00000000,2,0
3,7,-9.93029976,0.00005090,0.99992537,0.00002378,-9.88574028,0.8277,1.0001,0.04455996,0.00000000,2,0
3,8,-8.40823650,0.00022302,0.99974245,0.00003452,-8.40823650,0.8764,1.0003,0.00000000,0.00000000,2,0
3,9,-6.17809391,0.00252833,0.99739480,0.00007682,-5.98019648,0.7511,1.0026,0.19789743,0.00000000,2,0
3,10,-7.92871618,0.00037228,0.99960750,0.00002024,-7.89587212,0.8336,1.0004,0.03284407,0.00000000,2,0
4,1,-4.22970152,0.04876117,0.95118499,0.00005390,-3.02082086,0.2456,1.0513,1.20888054,0.00000000,2,0
4,2,-5.65202570,0.00397752,0.99592692,0.00009561,-5.52709627,0.7875,1.0041,0.12492943,0.00000000,2,0
4,3,-9.95371723,0.00006361,0.99991417,0.00002221,-9.66266918,0.7045,1.0001,0.29104805,0.00000000,2,0
4,4,-7.40914822,0.00074967,0.99920267,0.00004765,-7.19587898,0.7434,1.0008,0.21326900,0.00000000,2,0
4,5,-7.86106682,0.00044616,0.99952674,0.00002717,-7.71484184,0.7769,1.0005,0.14622474,0.00000000,2,0
4,6,-2.12837553,0.13685940,0.86281228,0.00032826,-1.98880112,0.7802,1.1590,0.13957453,0.00000000,2,1
4,7,-10.93860531,0.00002112,0.99995804,0.00002092,-10.76541805,0.7634,1.0000,0.17318690,0.00000000,2,0
4,8,-8.55377197,0.00026376,0.99968469,0.00005158,-8.24048328,0.6934,1.0003,0.31328893,0.00000000,2,0
4,9,-8.65395737,0.00020758,0.99976307,0.00002934,-8.48000908,0.7630,1.0002,0.17394841,0.00000000,2,0
4,10,-11.81329060,0.00000800,0.99998045,0.00001160,-11.73545265,0.8111,1.0000,0.07783771,0.00000000,2,0
5,1,-2.12837553,0.13685940,0.86281228,0.00032826,-1.98880112,0.7802,1.1590,0.13957453,0.00000000,2,1
5,2,-5.77274370,0.00340564,0.99654335,0.00005091,-5.68232346,0.8048,1.0035,0.09042025,0.00000000,2,0
5,3,-7.10705519,0.00096272,0.99900633,0.00003098,-6.94574833,0.7693,1.0010,0.16130698,0.00000000,2,0
5,4,-6.44395638,0.00225054,0.99771523,0.00003428,-6.09658384,0.6763,1.0023,0.34737277,0.00000000,2,0
5,5,-5.72522402,0.00385148,0.99610621,0.00004228,-5.55929899,0.7670,1.0039,0.16592491,0.00000000,2,0
5,6,-5.07867050,0.00821294,0.99174786,0.00003931,-4.80204391,0.7117,1.0083,0.27662635,0.00000000,2,0
5,7,-6.43790150,0.00204103,0.99792886,0.00003005,-6.19430304,0.7282,1.0021,0.24359846,0.00000000,2,0
5,8,-3.45915413,0.03784572,0.96175402,0.00040026,-3.27423739,0.7575,1.0398,0.18491673,0.00000000,2,0
5,9,-2.51342773,0.09455481,0.90520257,0.00024273,-2.35857558,0.7726,1.1047,0.15485215,0.00000000,2,0
5,10,-5.89470196,0.00329035,0.99667823,0.00003144,-5.71676016,0.7610,1.0033,0.17794180,0.00000000,2,0
6,1,-2.07542801,0.15181303,0.84787321,0.00031388,-1.88510561,0.7548,1.1794,0.19032240,0.00000000,2,1
6,2,-4.92653465,0.00816968,0.99169648,0.00013385,-4.80732489,0.7904,1.0084,0.11920953,0.00000000,2,0
6,3,-4.34449291,0.01467900,0.98519045,0.00013054,-4.22133732,0.7884,1.0150,0.12315547,0.00000000,2,0
6,4,-3.61177802,0.03105698,0.96879637,0.00014667,-3.47193170,0.7801,1.0322,0.13984632,0.00000000,2,0
6,5,-5.79515934,0.00318156,0.99676442,0.00005407,-5.75038481,0.8276,1.0032,0.04477477,0.00000000,2,0
6,6,-5.34585285,0.00559680,0.99434954,0.00005371,-5.18556023,0.7699,1.0057,0.16029286,0.00000000,2,0
6,7,-5.45756102,0.00464572,0.99528533,0.00006899,-5.37180853,0.8071,1.0047,0.08575249,0.00000000,2,0
6,8,-4.56815863,0.01160533,0.98829108,0.00010354,-4.45629072,0.7941,1.0118,0.11186790,0.00000000,2,0
6,9,-5.13964176,0.00648694,0.99341160,0.00010145,-5.03796530,0.7992,1.0066,0.10167670,0.00000000,2,0
6,10,-3.22722769,0.04858294,0.95124495,0.00017214,-3.02448297,0.7486,1.0513,0.20274460,0.00000000,2,0
7,1,-2.00123501,0.15519327,0.84447175,0.00033504,-1.86308408,0.7809,1.1842,0.13815081,0.00000000,2,1
7,2,-5.17228699,0.00630818,0.99356633,0.00012555,-5.06590891,0.7968,1.0065,0.10637808,0.00000000,2,0
7,3,-5.16769409,0.00638149,0.99353868,0.00007983,-5.05435419,0.7933,1.0065,0.11333966,0.00000000,2,0
7,4,-6.39031506,0.00187423,0.99809581,0.00003004,-6.27955770,0.7946,1.0019,0.11075747,0.00000000,2,0
7,5,-5.42784548,0.00470329,0.99523646,0.00006028,-5.35949230,0.8158,1.0048,0.06835318,0.00000000,2,0
7,6,-5.93104362,0.00277252,0.99716800,0.00005949,-5.88799906,0.8285,1.0028,0.04304445,0.00000000,2,0
7,7,-2.82642961,0.06556139,0.93387967,0.00055882,-2.72476840,0.7992,1.0708,0.10166121,0.00000000,2,0
7,8,-5.99280405,0.00280496,0.99712092,0.00007409,-5.87636709,0.7918,1.0029,0.11643684,0.00000000,2,0
7,9,-6.24888611,0.00207120,0.99789858,0.00003021,-6.17962933,0.8154,1.0021,0.06925654,0.00000000,2,0
7,10,-4.15914106,0.01802596,0.98184675,0.00012739,-4.01594210,0.7784,1.0185,0.14319885,0.00000000,2,0
8,1,-1.24174976,0.33538195,0.66416436,0.00045371,-1.09248519,0.7754,1.5057,0.14926457,0.00000000,2,1
8,2,-6.02321911,0.00272672,0.99720156,0.00007164,-5.90465593,0.7907,1.0028,0.11856306,0.00000000,2,0
8,3,-6.05186033,0.00261989,0.99730980,0.00007031,-5.94462299,0.7964,1.0027,0.10723722,0.00000000,2,0
8,4,-2.13194942,0.15262690,0.84689087,0.00048224,-1.87975883,0.7239,1.1808,0.25219047,0.00000000,2,0
8,5,-3.62963057,0.03178654,0.96807522,0.00013820,-3.44871235,0.7595,1.0330,0.18091822,0.00000000,2,0
8,6,-6.48739243,0.00164539,0.99821967,0.00013491,-6.40977907,0.8112,1.0018,0.07761312,0.00000000,2,0
8,7,-6.50235748,0.00155576,0.99838066,0.00006352,-6.46579218,0.8317,1.0016,0.03656530,0.00000000,2,0
8,8,-5.93605042,0.00281775,0.99711776,0.00006453,-5.87181807,0.8179,1.0029,0.06423211,0.00000000,2,0
8,9,-8.59875965,0.00019453,0.99978906,0.00001651,-8.54494190,0.8231,1.0002,0.05381811,0.00000000,2,0
8,10,-9.06436825,0.00012354,0.99986005,0.00001640,-8.99893188,0.8173,1.0001,0.06543636,0.00000000,2,0
9,1,-1.24174976,0.33538195,0.66416436,0.00045371,-1.09248519,0.7754,1.5057,0.14926457,0.00000000,2,1
9,2,-6.32813978,0.00189638,0.99806470,0.00003891,-6.26780796,0.8198,1.0019,0.06033182,0.00000000,2,0
9,3,-4.36250973,0.01545305,0.98438847,0.00015856,-4.16994905,0.7537,1.0159,0.19256043,0.00000000,2,0
9,4,-6.68650484,0.00141519,0.99848962,0.00009523,-6.56048870,0.7870,1.0015,0.12601614,0.00000000,2,0
9,5,-6.16489553,0.00231032,0.99763048,0.00005927,-6.07036781,0.8027,1.0024,0.09452784,0.00000000,2,0
9,6,-2.75259519,0.08310574,0.91638356,0.00051067,-2.48764133,0.7175,1.0912,0.26495385,0.00000000,2,0
9,7,-4.17360687,0.01796685,0.98181456,0.00021860,-4.01922703,0.7728,1.0185,0.15437961,0.00000000,2,0
9,8,-4.63949728,0.01129082,0.98857260,0.00013659,-4.48376513,0.7721,1.0116,0.15573215,0.00000000,2,0
9,9,-2.86720657,0.07242440,0.92737257,0.00020295,-2.62521195,0.7290,1.0783,0.24199450,0.00000000,2,0
9,10,-6.52046490,0.00159489,0.99834871,0.00005646,-6.44095135,0.8102,1.0017,0.07951331,0.00000000,2,0
10,1,-1.24174976,0.33538195,0.66416436,0.00045371,-1.09248519,0.7754,1.5057,0.14926457,0.00000000,2,1
10,2,-6.27222443,0.00217030,0.99772710,0.00010266,-6.13289070,0.7803,1.0023,0.13933361,0.00000000,2,0
10,3,-4.97714424,0.00812849,0.99167937,0.00019213,-4.81237984,0.7676,1.0084,0.16476440,0.00000000,2,0
10,4,-6.21595764,0.00249299,0.99746966,0.00003730,-5.99427223,0.7392,1.0025,0.22168541,0.00000000,2,0
10,5,-8.73367310,0.00018243,0.99978799,0.00002960,-8.60914230,0.7877,1.0002,0.12453091,0.00000000,2,0
10,6,-7.58126307,0.00064591,0.99930739,0.00004665,-7.34485769,0.7318,1.0007,0.23640549,0.00000000,2,0
10,7,-6.66999292,0.00136704,0.99854279,0.00009027,-6.59510756,0.8126,1.0015,0.07488549,0.00000000,2,0
10,8,-3.54134059,0.03866193,0.96115071,0.00018730,-3.25289989,0.7058,1.0404,0.28844070,0.00000000,2,0
10,9,-7.45462036,0.00068035,0.99918813,0.00013147,-7.29290390,0.7691,1.0008,0.16171622,0.00000000,2,0
10,10,-4.64783001,0.01140070,0.98838657,0.00021262,-4.47408056,0.7631,1.0117,0.17374933,0.00000000,2,0
