generation,individual_id,fitness,p_human,p_ai,p_mimicry,semantic_similarity,predicted_class,is_best,is_selected
5,7,0.00008953,0.00008953,0.59343171,0.40647873,0.8117,2,0,0
5,8,0.00001521,0.00001521,0.99571592,0.00426890,0.8220,2,0,1
5,9,0.00027254,0.00027254,0.04773645,0.95199102,0.8226,3,1,0
5,10,0.00012944,0.00012944,0.01204855,0.98782200,0.7997,3,0,0
6,1,0.00027254,0.00027254,0.04773645,0.95199102,0.8226,3,1,1
6,2,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,0,1
6,3,0.00015052,0.00015052,0.05590253,0.94394690,0.8161,3,0,0
6,4,0.00003716,0.00003716,0.95608395,0.04387891,0.7878,2,0,0
6,5,0.00000324,0.00000324,0.99914145,0.00085529,0.7947,2,0,0
6,6,0.00000153,0.00000153,0.99988365,0.00011475,0.8240,2,0,0
6,7,0.00009574,0.00009574,0.00663463,0.99326962,0.8174,3,0,0
6,8,0.00002154,0.00002154,0.97507155,0.02490687,0.8341,2,0,0
6,9,0.00000195,0.00000195,0.99964380,0.00035430,0.8108,2,0,1
6,10,0.00021297,0.00021297,0.03166484,0.96812212,0.8260,3,0,0
7,1,0.00027254,0.00027254,0.04773645,0.95199102,0.8226,3,1,1
7,2,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,0,1
7,3,0.00021297,0.00021297,0.03166484,0.96812212,0.8260,3,0,0
7,4,0.00022199,0.00022199,0.01838702,0.98139095,0.8099,3,0,0
7,5,0.00000065,0.00000065,0.99995208,0.00004727,0.8244,2,0,0
7,6,0.00000558,0.00000558,0.99799037,0.00200408,0.7987,2,0,0
7,7,0.00000295,0.00000295,0.99958032,0.00041668,0.8278,2,0,0
7,8,0.00007686,0.00007686,0.95299351,0.04692958,0.8294,2,0,0
7,9,0.00000277,0.00000277,0.99924386,0.00075349,0.7927,2,0,0
7,10,0.00019406,0.00019406,0.77951050,0.22029549,0.8300,2,0,1
8,1,0.00027254,0.00027254,0.04773645,0.95199102,0.8226,3,0,1
8,2,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,0,1
8,3,0.00022199,0.00022199,0.01838702,0.98139095,0.8099,3,0,0
8,4,0.00002398,0.00002398,0.99094242,0.00903365,0.8125,2,0,1
8,5,0.00033834,0.00033834,0.01503897,0.98462266,0.8212,3,1,0
8,6,0.00002131,0.00002131,0.97397566,0.02600298,0.7822,2,0,0
8,7,0.00000237,0.00000237,0.99983275,0.00016488,0.8095,2,0,0
8,8,0.00006398,0.00006398,0.97850442,0.02143147,0.8152,2,0,0
8,9,0.00011868,0.00011868,0.76755768,0.23232362,0.8315,2,0,0
8,10,0.00013697,0.00013697,0.00278776,0.99707532,0.8076,3,0,0
9,1,0.00033834,0.00033834,0.01503897,0.98462266,0.8212,3,1,1
9,2,0.00027254,0.00027254,0.04773645,0.95199102,0.8226,3,0,1
9,3,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,0,0
9,4,0.00032938,0.00032938,0.79020661,0.20946400,0.8172,2,0,0
9,5,0.00004401,0.00004401,0.96541548,0.03454051,0.8168,2,0,1
9,6,0.00030104,0.00030104,0.03297086,0.96672809,0.8126,3,0,0
9,7,0.00000721,0.00000721,0.99691272,0.00308000,0.7901,2,0,0
9,8,0.00017088,0.00017088,0.18801014,0.81181896,0.8184,3,0,0
9,9,0.00000392,0.00000392,0.99906331,0.00093274,0.7942,2,0,0
9,10,0.00002188,0.00002188,0.96211219,0.03786587,0.7669,2,0,0
10,1,0.00033834,0.00033834,0.01503897,0.98462266,0.8212,3,0,1
10,2,0.00032938,0.00032938,0.79020661,0.20946400,0.8172,2,0,0
10,3,0.00030104,0.00030104,0.03297086,0.96672809,0.8126,3,0,0
10,4,0.00000507,0.00000507,0.99899381,0.00100103,0.8267,2,0,1
10,5,0.00004907,0.00004907,0.97157145,0.02837946,0.8208,2,0,0
10,6,0.00055665,0.00055665,0.00105742,0.99838591,0.8017,3,1,1
10,7,0.00002866,0.00002866,0.99527490,0.00469634,0.8025,2,0,0
10,8,0.00000122,0.00000122,0.99994421,0.00005454,0.8124,2,0,0
10,9,0.00012499,0.00012499,0.00211565,0.99775934,0.8197,3,0,0
10,10,0.00000500,0.00000500,0.99777967,0.00221532,0.7633,2,0,0
