generation,individual_id,fitness,p_human,p_ai,p_mimicry,log_p_human,semantic_similarity,perplexity,semantic_penalty,perplexity_penalty,predicted_class,is_best
6,3,-5.81462431,0.00417272,0.99557710,0.00025015,-5.47918653,0.6823,1.0044,0.33543789,0.00000000,2,0
6,4,-5.90503502,0.00343351,0.99614942,0.00041708,-5.67417192,0.7346,1.0039,0.23086309,0.00000000,2,0
6,5,-6.86404610,0.00144565,0.99847490,0.00007945,-6.53919315,0.6876,1.0015,0.32485271,0.00000000,2,0
6,6,-6.83997869,0.00146849,0.99845624,0.00007524,-6.52351761,0.6918,1.0015,0.31646109,0.00000000,2,0
6,7,-4.18454123,0.01964626,0.97991550,0.00043819,-3.92986822,0.7227,1.0205,0.25467300,0.00000000,2,1
6,8,-5.60102654,0.00462510,0.99520677,0.00016816,-5.37625790,0.7376,1.0048,0.22476888,0.00000000,2,0
6,9,-7.45552444,0.00086108,0.99905771,0.00008127,-7.05732012,0.6509,1.0009,0.39820409,0.00000000,2,0
6,10,-4.40253305,0.01800940,0.98170716,0.00028348,-4.01686144,0.6572,1.0186,0.38567173,0.00000000,2,0
7,1,-4.18454123,0.01964626,0.97991550,0.00043819,-3.92986822,0.7227,1.0205,0.25467300,0.00000000,2,0
7,2,-7.54479980,0.00079290,0.99913859,0.00006848,-7.13981628,0.6475,1.0009,0.40498352,0.00000000,2,0
7,3,-2.78792334,0.08319530,0.91638583,0.00041886,-2.48656440,0.6993,1.0912,0.30135882,0.00000000,2,1
7,4,-5.11940479,0.00754564,0.99240124,0.00005307,-4.88678503,0.7337,1.0077,0.23261964,0.00000000,2,0
7,5,-5.28140163,0.00656495,0.99311429,0.00032072,-5.02601004,0.7223,1.0069,0.25539148,0.00000000,2,0
7,6,-5.04925251,0.00826409,0.99146581,0.00027009,-4.79583597,0.7233,1.0086,0.25341654,0.00000000,2,0
7,7,-7.10632420,0.00113674,0.99868745,0.00017581,-6.77958775,0.6866,1.0013,0.32673669,0.00000000,2,0
7,8,-9.14808464,0.00015518,0.99979728,0.00004760,-8.77092361,0.6614,1.0002,0.37716150,0.00000000,2,0
7,9,-7.52754259,0.00067536,0.99924159,0.00008303,-7.30027151,0.7364,1.0008,0.22727096,0.00000000,2,0
7,10,-9.01861858,0.00015601,0.99980539,0.00003856,-8.76558399,0.7235,1.0002,0.25303447,0.00000000,2,0
8,1,-2.39496517,0.12918031,0.87059802,0.00022167,-2.04654598,0.6758,1.1486,0.34841919,0.00000000,2,1
8,2,-3.58589053,0.03760312,0.96175444,0.00064234,-3.28066826,0.6974,1.0398,0.30522227,0.00000000,2,0
8,3,-5.45952511,0.00651842,0.99339205,0.00008957,-5.03312254,0.6368,1.0067,0.42640269,0.00000000,2,0
8,4,-4.98744059,0.00904979,0.99060643,0.00034381,-4.70501328,0.7088,1.0095,0.28242731,0.00000000,2,0
8,5,-5.54306316,0.00487494,0.99489331,0.00023171,-5.32364798,0.7403,1.0051,0.21941543,0.00000000,2,0
8,6,-4.34565639,0.01676231,0.98266011,0.00057747,-4.08862257,0.7215,1.0176,0.25703406,0.00000000,2,0
8,7,-2.61460781,0.10768090,0.89199251,0.00032659,-2.22858310,0.6570,1.1211,0.38602483,0.00000000,2,0
8,8,-6.07282114,0.00303289,0.99688184,0.00008534,-5.79823875,0.7127,1.0031,0.27458227,0.00000000,2,0
8,9,-4.43738461,0.01525708,0.98436284,0.00038014,-4.18271160,0.7227,1.0159,0.25467300,0.00000000,2,0
8,10,-3.22180963,0.05628923,0.94321531,0.00049536,-2.87725210,0.6777,1.0602,0.34455752,0.00000000,2,0
9,1,-2.39496517,0.12918031,0.87059802,0.00022167,-2.04654598,0.6758,1.1486,0.34841919,0.00000000,2,0
9,2,-6.57196808,0.00207847,0.99787140,0.00005008,-6.17612553,0.6521,1.0021,0.39584255,0.00000000,2,0
9,3,-2.28789306,0.14892997,0.85072017,0.00034991,-1.90427911,0.6582,1.1755,0.38361394,0.00000000,2,0
9,4,-5.46771145,0.00573809,0.99415511,0.00010684,-5.16062880,0.6965,1.0059,0.30708241,0.00000000,2,0
9,5,-6.80889320,0.00139786,0.99851960,0.00008262,-6.57281399,0.7320,1.0015,0.23607910,0.00000000,2,0
9,6,-6.50328207,0.00201661,0.99793661,0.00004672,-6.20633698,0.7015,1.0021,0.29694510,0.00000000,2,0
9,7,-5.97628689,0.00333577,0.99660528,0.00005892,-5.70305109,0.7134,1.0034,0.27323604,0.00000000,2,0
9,8,-7.14163351,0.00106197,0.99887496,0.00006313,-6.84762859,0.7030,1.0011,0.29400492,0.00000000,2,0
9,9,-7.62721062,0.00063950,0.99932337,0.00003713,-7.35481977,0.7138,1.0007,0.27239060,0.00000000,2,0
9,10,-2.25679684,0.14906791,0.85043496,0.00049720,-1.90335333,0.6733,1.1759,0.35344362,0.00000000,2,1
10,1,-1.38001704,0.35372081,0.64577496,0.00050425,-1.03924727,0.6796,1.5485,0.34076977,0.00000000,2,1
10,2,-2.23764133,0.13946348,0.86028022,0.00025633,-1.96995246,0.7162,1.1624,0.26768899,0.00000000,2,0
10,3,-5.85141993,0.00412344,0.99561679,0.00025986,-5.49106789,0.6698,1.0044,0.36035204,0.00000000,2,0
10,4,-6.42510176,0.00222867,0.99768424,0.00008702,-6.10635138,0.6906,1.0023,0.31875038,0.00000000,2,0
10,5,-4.99312878,0.00887219,0.99100596,0.00012183,-4.72483349,0.7159,1.0091,0.26829553,0.00000000,2,0
10,6,-5.15548134,0.00817318,0.99174601,0.00008087,-4.80689716,0.6757,1.0083,0.34858394,0.00000000,2,0
10,7,-6.11552715,0.00302754,0.99686617,0.00010620,-5.80000401,0.6922,1.0031,0.31552303,0.00000000,2,0
10,8,-4.41224480,0.01494812,0.98479456,0.00025730,-4.20316982,0.7455,1.0154,0.20907474,0.00000000,2,0
10,9,-8.04453087,0.00040703,0.99957091,0.00002201,-7.80663586,0.7311,1.0004,0.23789549,0.00000000,2,0
10,10,-5.58740902,0.00513213,0.99480742,0.00006043,-5.27223444,0.6924,1.0052,0.31517434,0.00000000,2,0
11,1,-1.18827891,0.44447082,0.55516827,0.00036091,-0.81087089,0.6613,1.8013,0.37740803,0.00000000,2,1
11,2,-4.19791794,0.01901102,0.98089570,0.00009331,-3.96273661,0.7324,1.0195,0.23518109,0.00000000,2,0
11,3,-1.41217291,0.34398380,0.65546101,0.00055519,-1.06716073,0.6775,1.5256,0.34501219,0.00000000,2,0
11,4,-2.35413885,0.14567125,0.85408241,0.00024627,-1.92640293,0.6361,1.1708,0.42773581,0.00000000,2,0
11,5,-3.78346920,0.03005675,0.96974504,0.00019815,-3.50466800,0.7106,1.0312,0.27880120,0.00000000,2,0
11,6,-3.92335892,0.02650731,0.97333783,0.00015490,-3.63033462,0.7035,1.0274,0.29302430,0.00000000,2,0
11,7,-4.13018084,0.02059356,0.97924578,0.00016068,-3.88277698,0.7263,1.0212,0.24740398,0.00000000,2,0
11,8,-3.66332817,0.03410157,0.96574467,0.00015372,-3.37841201,0.7075,1.0355,0.28491616,0.00000000,2,0
11,9,-3.78692365,0.02868032,0.97114503,0.00017468,-3.55154395,0.7323,1.0297,0.23537970,0.00000000,2,0
11,10,-5.02634811,0.00865592,0.99119627,0.00014787,-4.74951172,0.7116,1.0089,0.27683663,0.00000000,2,0
12,1,-1.01482773,0.52834958,0.47117865,0.00047182,-0.63799715,0.6616,1.8927,0.37683058,0.00000000,1,1
12,2,-2.65611506,0.09906839,0.90045083,0.00048083,-2.31194496,0.6779,1.1106,0.34417009,0.00000000,2,0
12,3,-2.06927562,0.17484097,0.82461995,0.00053906,-1.74387848,0.6873,1.2127,0.32539713,0.00000000,2,0
12,4,-3.17475653,0.05612333,0.94359887,0.00027789,-2.88020372,0.7027,1.0598,0.29455280,0.00000000,2,0
12,5,-1.87507117,0.20702824,0.79221594,0.00075587,-1.57490003,0.6999,1.2623,0.30017114,0.00000000,2,0
12,6,-2.30634546,0.14077981,0.85875541,0.00046477,-1.96055830,0.6771,1.1645,0.34578717,0.00000000,2,0
12,7,-3.74503994,0.03211100,0.96763694,0.00025199,-3.43855667,0.6968,1.0334,0.30648327,0.00000000,2,0
12,8,-4.26568031,0.02074668,0.97896075,0.00029260,-3.87536931,0.6548,1.0215,0.39031124,0.00000000,2,0
12,9,-2.20218229,0.15208606,0.84719604,0.00071788,-1.88330877,0.6906,1.1804,0.31887341,0.00000000,2,0
12,10,-1.54201734,0.34140944,0.65813178,0.00045885,-1.07467282,0.6163,1.5195,0.46734452,0.00000000,2,0
13,1,-1.01482773,0.52834958,0.47117865,0.00047182,-0.63799715,0.6616,1.8927,0.37683058,0.00000000,1,0
13,2,-0.99487692,0.46556079,0.53316575,0.00127337,-0.76451260,0.7348,1.8756,0.23036432,0.00000000,2,1
13,3,-1.40815091,0.35602063,0.64339405,0.00058528,-1.03276658,0.6623,1.5543,0.37538433,0.00000000,2,0
13,4,-3.26728106,0.05185056,0.94784862,0.00030076,-2.95938945,0.6961,1.0550,0.30789149,0.00000000,2,0
13,5,-3.65608621,0.03872846,0.96058881,0.00068270,-3.25118041,0.6475,1.0410,0.40490580,0.00000000,2,0
13,6,-2.85512614,0.08317680,0.91630489,0.00051828,-2.48678684,0.6658,1.0913,0.36833930,0.00000000,2,0
13,7,-1.90664172,0.23256539,0.76708215,0.00035238,-1.45858383,0.6260,1.3036,0.44805789,0.00000000,2,0
13,8,-2.63363409,0.09696356,0.90253794,0.00049858,-2.33342004,0.6999,1.1080,0.30021417,0.00000000,2,0
13,9,-3.70368099,0.03364020,0.96587920,0.00048055,-3.39203334,0.6942,1.0353,0.31164765,0.00000000,2,0
13,10,-2.56756711,0.10833681,0.89122999,0.00043316,-2.22251034,0.6775,1.1220,0.34505677,0.00000000,2,0
14,1,-0.99487692,0.46556079,0.53316575,0.00127337,-0.76451260,0.7348,1.8756,0.23036432,0.00000000,2,0
14,2,-1.99500096,0.18559977,0.81397593,0.00042435,-1.68416262,0.6946,1.2285,0.31083834,0.00000000,2,0
14,3,-2.14048934,0.17010057,0.82968843,0.00021101,-1.77136540,0.6654,1.2053,0.36912394,0.00000000,2,0
14,4,-2.95689797,0.07133169,0.92838681,0.00028158,-2.64041448,0.6918,1.0771,0.31648350,0.00000000,2,0
14,5,-1.85792875,0.22269876,0.77686769,0.00043360,-1.50193524,0.6720,1.2872,0.35599351,0.00000000,2,0
14,6,-2.84640169,0.08093220,0.91861492,0.00045281,-2.51414347,0.6839,1.0886,0.33225811,0.00000000,2,0
14,7,-0.89477611,0.56526613,0.43367952,0.00105432,-0.57045865,0.6878,1.7691,0.32431746,0.00000000,1,1
14,8,-2.19249392,0.17273483,0.82692724,0.00033789,-1.75599766,0.6318,1.2093,0.43649638,0.00000000,2,0
14,9,-1.13300860,0.41981634,0.57949740,0.00068622,-0.86793792,0.7175,1.7256,0.26507068,0.00000000,2,0
14,10,-1.58815372,0.25890929,0.74053031,0.00056042,-1.35127759,0.7316,1.3504,0.23687613,0.00000000,2,0
15,1,-0.89477611,0.56526613,0.43367952,0.00105432,-0.57045865,0.6878,1.7691,0.32431746,0.00000000,1,1
15,2,-2.20206165,0.14876887,0.85076332,0.00046789,-1.90536141,0.7016,1.1754,0.29670024,0.00000000,2,0
15,3,-2.28830910,0.13515688,0.86444449,0.00039869,-2.00131917,0.7065,1.1568,0.28699005,0.00000000,2,0
15,4,-0.96296477,0.49901855,0.49998319,0.00099822,-0.69511199,0.7161,2.0001,0.26781917,0.00003362,2,0
15,5,-1.33943033,0.34226763,0.65687621,0.00085611,-1.07216239,0.7164,1.5224,0.26726794,0.00000000,2,0
15,6,-1.35242832,0.34578130,0.65345347,0.00076526,-1.06194878,0.7048,1.5303,0.29047954,0.00000000,2,0
15,7,-1.16090846,0.40826538,0.59106231,0.00067234,-0.89583784,0.7175,1.6919,0.26507068,0.00000000,2,0
15,8,-1.08350468,0.44630828,0.55292749,0.00076422,-0.80674535,0.7116,1.8086,0.27675939,0.00000000,2,0
15,9,-1.36740375,0.33558655,0.66365349,0.00075997,-1.09187543,0.7122,1.5068,0.27552831,0.00000000,2,0
15,10,-2.03785920,0.18177666,0.81776851,0.00045482,-1.70497656,0.6836,1.2228,0.33288264,0.00000000,2,0
16,1,-0.89477611,0.56526613,0.43367952,0.00105432,-0.57045865,0.6878,1.7691,0.32431746,0.00000000,1,0
16,2,-0.60731578,0.70713037,0.29183468,0.00103489,-0.34654024,0.7196,1.4142,0.26077557,0.00000000,1,0
16,3,-3.36400700,0.04721281,0.95258409,0.00020309,-3.05309010,0.6945,1.0498,0.31091702,0.00000000,2,0
16,4,-0.83945477,0.56777728,0.43117955,0.00104321,-0.56602609,0.7133,1.7613,0.27342868,0.00000000,1,0
16,5,-1.04961681,0.45234531,0.54553413,0.00212055,-0.79330945,0.7218,1.8331,0.25630736,0.00000000,2,0
16,6,-0.59731519,0.73802042,0.26117927,0.00080031,-0.30378380,0.7032,1.3550,0.29353142,0.00000000,1,1
16,7,-7.21998024,0.00089421,0.99904603,0.00005977,-7.01956892,0.7498,1.0010,0.20041144,0.00000000,2,0
16,8,-0.89932585,0.54723883,0.45203424,0.00072684,-0.60286999,0.7018,1.8274,0.29645586,0.00000000,1,0
16,9,-1.34678054,0.34564668,0.65339625,0.00095713,-1.06233811,0.7078,1.5305,0.28444242,0.00000000,2,0
16,10,-0.99670857,0.48751277,0.51171333,0.00077383,-0.71843880,0.7109,1.9542,0.27826977,0.00000000,2,0
17,1,-0.59731519,0.73802042,0.26117927,0.00080031,-0.30378380,0.7032,1.3550,0.29353142,0.00000000,1,1
17,2,-2.49349856,0.11763779,0.88199389,0.00036830,-2.14014506,0.6733,1.1338,0.35335350,0.00000000,2,0
17,3,-2.78525925,0.08998723,0.90951777,0.00049491,-2.40808749,0.6614,1.0995,0.37717187,0.00000000,2,0
17,4,-0.69543976,0.64371312,0.35524207,0.00104487,-0.44050211,0.7225,1.5535,0.25493765,0.00000000,1,0
17,5,-0.66989017,0.66699839,0.33172184,0.00127973,-0.40496764,0.7175,1.4993,0.26492250,0.00000000,1,0
17,6,-0.74102032,0.61964446,0.37927940,0.00107609,-0.47860941,0.7188,1.6138,0.26241088,0.00000000,1,0
17,7,-0.66989017,0.66699839,0.33172184,0.00127973,-0.40496764,0.7175,1.4993,0.26492250,0.00000000,1,0
17,8,-0.74486530,0.64618897,0.35275924,0.00105178,-0.43666330,0.6959,1.5475,0.30820203,0.00000000,1,0
17,9,-0.63710189,0.71223229,0.28670043,0.00106729,-0.33935118,0.7011,1.4040,0.29775071,0.00000000,1,0
17,10,-0.62421596,0.73693979,0.26202363,0.00103658,-0.30524909,0.6905,1.3570,0.31896687,0.00000000,1,0
18,1,-0.59731519,0.73802042,0.26117927,0.00080031,-0.30378380,0.7032,1.3550,0.29353142,0.00000000,1,0
18,2,-5.77504158,0.00415453,0.99574691,0.00009846,-5.48355627,0.7043,1.0043,0.29148507,0.00000000,2,0
18,3,-2.06169367,0.17511708,0.82450515,0.00037768,-1.74230051,0.6903,1.2128,0.31939316,0.00000000,2,0
18,4,-0.71712774,0.63238937,0.36631003,0.00130061,-0.45824999,0.7206,1.5813,0.25887775,0.00000000,1,0
18,5,-2.01200747,0.17888971,0.82076770,0.00034259,-1.72098589,0.7045,1.2184,0.29102159,0.00000000,2,0
18,6,-0.60429722,0.73195094,0.26701969,0.00102939,-0.31204182,0.7039,1.3662,0.29225540,0.00000000,1,0
18,7,-2.23293257,0.14656200,0.85271740,0.00072065,-1.92030680,0.6937,1.1727,0.31262589,0.00000000,2,0
18,8,-1.91215968,0.22039631,0.77884209,0.00076163,-1.51232791,0.6501,1.2840,0.39983177,0.00000000,2,0
18,9,-0.57741714,0.74074084,0.25828493,0.00097425,-0.30010447,0.7113,1.3500,0.27731264,0.00000000,1,1
18,10,-0.89710224,0.54486513,0.45411700,0.00101785,-0.60721695,0.7051,1.8353,0.28988528,0.00000000,1,0
19,1,-0.57741714,0.74074084,0.25828493,0.00097425,-0.30010447,0.7113,1.3500,0.27731264,0.00000000,1,0
19,2,-12.04412270,0.00000712,0.99997950,0.00001334,-11.85307026,0.7545,1.0000,0.19105196,0.00000000,2,0
19,3,-0.57323194,0.77718425,0.22181323,0.00100249,-0.25207785,0.6894,1.2867,0.32115412,0.00000000,1,1
19,4,-8.69643021,0.00021254,0.99975413,0.00003332,-8.45640278,0.7300,1.0002,0.24002719,0.00000000,2,0
19,5,-11.30276299,0.00001524,0.99995399,0.00003073,-11.09186172,0.7445,1.0000,0.21090126,0.00000000,2,0
19,6,-7.49086094,0.00066110,0.99898165,0.00035730,-7.32159901,0.7654,1.0010,0.16926217,0.00000000,2,0
19,7,-0.69132787,0.67065859,0.32834774,0.00099371,-0.39949507,0.7041,1.4911,0.29183280,0.00000000,1,0
19,8,-7.37686825,0.00075118,0.99911398,0.00013484,-7.19385958,0.7585,1.0009,0.18300843,0.00000000,2,0
19,9,-10.04312801,0.00005454,0.99990916,0.00003618,-9.81654453,0.7367,1.0001,0.22658384,0.00000000,2,0
19,10,-12.91040230,0.00000316,0.99987805,0.00011889,-12.66553402,0.7276,1.0001,0.24486876,0.00000000,2,0
20,1,-0.57323194,0.77718425,0.22181323,0.00100249,-0.25207785,0.6894,1.2867,0.32115412,0.00000000,1,1
20,2,-13.63262939,0.00000152,0.99998426,0.00001418,-13.39704227,0.7322,1.0000,0.23558712,0.00000000,2,0
20,3,-5.25339794,0.00793749,0.99190581,0.00015670,-4.83615828,0.6414,1.0082,0.41723990,0.00000000,2,0
20,4,-13.09832382,0.00000231,0.99989522,0.00010257,-12.97943687,0.7906,1.0001,0.11888719,0.00000000,2,0
20,5,-5.39480209,0.00612950,0.99370074,0.00016971,-5.09464121,0.6999,1.0063,0.30016077,0.00000000,2,0
20,6,-11.25890350,0.00001554,0.99995899,0.00002551,-11.07178116,0.7564,1.0000,0.18712223,0.00000000,2,0
20,7,-9.60717678,0.00008469,0.99985981,0.00005544,-9.37654305,0.7347,1.0001,0.23063338,0.00000000,2,0
20,8,-8.59761333,0.00022025,0.99952865,0.00025113,-8.42075443,0.7616,1.0005,0.17685878,0.00000000,2,0
20,9,-12.89953995,0.00000334,0.99990046,0.00009622,-12.60970211,0.7051,1.0001,0.28983748,0.00000000,2,0
20,10,-9.51090908,0.00009377,0.99980706,0.00009918,-9.27468967,0.7319,1.0002,0.23621917,0.00000000,2,0
21,1,-0.57323194,0.77718425,0.22181323,0.00100249,-0.25207785,0.6894,1.2867,0.32115412,0.00000000,1,1
21,2,-4.77904510,0.01209740,0.98766977,0.00023284,-4.41476488,0.6679,1.0125,0.36428010,0.00000000,2,0
21,3,-4.49615860,0.01408061,0.98535943,0.00055991,-4.26295662,0.7334,1.0149,0.23320174,0.00000000,2,0
21,4,-3.06779838,0.05966214,0.93952835,0.00080956,-2.81905746,0.7256,1.0644,0.24874091,0.00000000,2,0
21,5,-3.49163389,0.04677460,0.95261592,0.00060949,-3.06241488,0.6354,1.0497,0.42921901,0.00000000,2,0
21,6,-5.10282040,0.00737337,0.99223834,0.00038838,-4.90988111,0.7535,1.0078,0.19293928,0.00000000,2,0
21,7,-3.81932330,0.03272927,0.96685892,0.00041182,-3.41948557,0.6501,1.0343,0.39983773,0.00000000,2,0
21,8,-4.57272720,0.01289122,0.98686975,0.00023909,-4.35120869,0.7392,1.0133,0.22151875,0.00000000,2,0
21,9,-4.44030046,0.01837843,0.98105848,0.00056316,-3.99657774,0.6281,1.0193,0.44372272,0.00000000,2,0
21,10,-4.87695599,0.01068897,0.98896581,0.00034518,-4.53854275,0.6808,1.0112,0.33841324,0.00000000,2,0
22,1,-0.57323194,0.77718425,0.22181323,0.00100249,-0.25207785,0.6894,1.2867,0.32115412,0.00000000,1,1
22,2,-2.32046819,0.12597539,0.87307841,0.00094615,-2.07166886,0.7256,1.1454,0.24879932,0.00000000,2,0
22,3,-2.03968382,0.16380344,0.83479387,0.00140266,-1.80908811,0.7347,1.1979,0.23059559,0.00000000,2,0
